ORGANISM_ID|ORGANISM_NAME|ORGANISM_LEVEL|PARENT_ID|PARENT_NAME
1458|CBS 120. 45|4|1457|Aspergillus panamensis
4133|CBS 120.45|4|1457|Aspergillus panamensis
4171|CBS-P-2|4|153|Aspergillus
4087|CBS117520|4|2082|Aspergillus novofumigatus
1406|CFR-1046|4|283|Aspergillus niger
1413|CFR-W-105|4|283|Aspergillus niger
4244|CFTRI 1105|4|283|Aspergillus niger
1423|CL38916|4|1370|Aspergillus aculeatus
4099|CL41582|4|3|Aspergillus ochraceus
4148|CMB-W031|4|153|Aspergillus
1465|CMI 16046|4|278|Aspergillus candidus
4122|CMM|4|153|Aspergillus
1663|CNK-371|4|153|Aspergillus
4150|CPCC 400735|4|153|Aspergillus
4209|CPCC 400810|4|153|Aspergillus
4071|CRI322-03|4|1370|Aspergillus aculeatus
4022|CRI323-04|4|1370|Aspergillus aculeatus
4179|CUGB-F046|4|153|Aspergillus
4125|Curzi|4|1719|Aspergillus stellatus
2338|CXCTD-06-6a|4|134|Aspergillus versicolor
4127|CY018|4|152|Aspergillus fumigatus
4221|D|4|153|Aspergillus
4108|D2-6|4|1404|Aspergillus sydowii
3973|DFFSCS013|4|2326|Aspergillus westerdijkiae
1641|DRCC 152|4|12|Aspergillus terreus
1640|EKI-2342|4|283|Aspergillus niger
3932|EN-13|4|283|Aspergillus niger
4001|EN-31|4|3|Aspergillus ochraceus
4095|EN-330|4|128|Aspergillus nidulans
3872|EN-48|4|1513|Aspergillus wentii
4218|EN-534/Penicillium citrinum EN-535|4|1404|Aspergillus sydowii
4192|EN-539|4|12|Aspergillus terreus
4161|EN-547|4|1733|Aspergillus alabamensis
4034|F-1491|4|153|Aspergillus
4080|F-25799|4|153|Aspergillus
4239|F1544|4|153|Aspergillus
4096|F37|4|152|Aspergillus fumigatus
4219|F40|4|153|Aspergillus
4132|F70609|4|153|Aspergillus
4265|F746|4|1935|Aspergillus fumisynnematus
1416|F7586|4|283|Aspergillus niger
4121|F93|4|152|Aspergillus fumigatus
1449|FA2692|4|153|Aspergillus
2225|FA75|4|153|Aspergillus
1407|Fb000501|4|12|Aspergillus terreus
1373|Fg-551|4|1356|Aspergillus japonicus
1437|FH-A 6357|4|153|Aspergillus
4182|fJ80|4|153|Aspergillus
4081|FKI-1746|4|153|Aspergillus
